x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-998.25000E-03,,,,
-998.21000E-03,,,,
-998.17000E-03,,,,
-998.13000E-03,,,,
-998.09000E-03,,,,
-998.05000E-03,,,,
-998.01000E-03,,,,
-997.97000E-03,,,,
-997.93000E-03,,,,
-997.89000E-03,,,,
-997.85000E-03,,,,
-997.81000E-03,,,,
-997.77000E-03,,,,
-997.73000E-03,,,,
-997.69000E-03,,,,
-997.65000E-03,,,,
-997.61000E-03,,,,
-997.57000E-03,,,,
-997.53000E-03,,,,
-997.49000E-03,,,,
-997.45000E-03,,,,
-997.41000E-03,,,,
-997.37000E-03,,,,
-997.33000E-03,,,,
-997.29000E-03,,,,
-997.25000E-03,,,,
-997.21000E-03,,,,
-997.17000E-03,,,,
-997.13000E-03,,,,
-997.09000E-03,,,,
-997.05000E-03,,,,
-997.01000E-03,,,,
-996.97000E-03,,,,
-996.93000E-03,,,,
-996.89000E-03,+3.85709810E+00,+3.29066591E+00,+43.21613E-03,+3.03616801E+00
-996.85000E-03,+1.04302772E+00,+3.29066591E+00,-157.78890E-03,+3.03616801E+00
-996.81000E-03,-12.24867E-03,+3.29066591E+00,-233.16579E-03,+3.16179615E+00
-996.77000E-03,+1.62091718E+00,+3.29066591E+00,-107.53764E-03,+3.23717304E+00
-996.73000E-03,+2.60081668E+00,+3.16503777E+00,-32.16076E-03,+3.23717304E+00
-996.69000E-03,+967.65084E-03,+3.21528902E+00,-157.78890E-03,+3.23717304E+00
-996.65000E-03,+1.74654532E+00,+3.29066591E+00,-233.16579E-03,+3.11154489E+00
-996.61000E-03,+917.39958E-03,+3.29066591E+00,-233.16579E-03,+3.03616801E+00
-996.57000E-03,-213.25369E-03,+3.29066591E+00,-233.16579E-03,+1.02611774E+00
-996.53000E-03,-87.62555E-03,+3.29066591E+00,-107.53764E-03,-179.91242E-03
-996.49000E-03,-12.24867E-03,+3.29066591E+00,-32.16076E-03,-179.91242E-03
-996.45000E-03,-12.24867E-03,+3.29066591E+00,-157.78890E-03,-179.91242E-03
-996.41000E-03,+1.74654532E+00,+3.29066591E+00,-107.53764E-03,-179.91242E-03
-996.37000E-03,+1.04302772E+00,+3.29066591E+00,-32.16076E-03,-179.91242E-03
-996.33000E-03,-12.24867E-03,+3.29066591E+00,-32.16076E-03,-179.91242E-03
-996.29000E-03,+1.74654532E+00,+3.29066591E+00,-32.16076E-03,-179.91242E-03
-996.25000E-03,+917.39958E-03,+3.29066591E+00,-157.78890E-03,-179.91242E-03
-996.21000E-03,+1.67116843E+00,+3.29066591E+00,-107.53764E-03,-179.91242E-03
-996.17000E-03,+917.39958E-03,+3.29066591E+00,-157.78890E-03,-179.91242E-03
-996.13000E-03,-87.62555E-03,+3.29066591E+00,-107.53764E-03,-54.28428E-03
-996.09000E-03,+1.74654532E+00,+3.29066591E+00,-157.78890E-03,-104.53553E-03
