x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-998.25000E-03,,,,
-998.21000E-03,,,,
-998.17000E-03,,,,
-998.13000E-03,,,,
-998.09000E-03,,,,
-998.05000E-03,,,,
-998.01000E-03,,,,
-997.97000E-03,,,,
-997.93000E-03,,,,
-997.89000E-03,,,,
-997.85000E-03,,,,
-997.81000E-03,,,,
-997.77000E-03,,,,
-997.73000E-03,,,,
-997.69000E-03,,,,
-997.65000E-03,,,,
-997.61000E-03,,,,
-997.57000E-03,,,,
-997.53000E-03,,,,
-997.49000E-03,,,,
-997.45000E-03,,,,
-997.41000E-03,,,,
-997.37000E-03,,,,
-997.33000E-03,,,,
-997.29000E-03,,,,
-997.25000E-03,,,,
-997.21000E-03,,,,
-997.17000E-03,,,,
-997.13000E-03,,,,
-997.09000E-03,,,,
-997.05000E-03,,,,
-997.01000E-03,,,,
-996.97000E-03,,,,
-996.93000E-03,,,,
-996.89000E-03,+2.72644482E+00,+3.29066591E+00,+3.46030158E+00,-179.91242E-03
-996.85000E-03,+2.92744985E+00,+3.29066591E+00,+3.25929655E+00,-179.91242E-03
-996.81000E-03,+3.00282674E+00,+1.28061564E+00,+3.18391967E+00,-179.91242E-03
-996.77000E-03,+3.00282674E+00,-51.04266E-03,+3.18391967E+00,-179.91242E-03
-996.73000E-03,+2.87719859E+00,-126.41954E-03,+3.18391967E+00,-179.91242E-03
-996.69000E-03,+2.92744985E+00,-126.41954E-03,+3.30954781E+00,-179.91242E-03
-996.65000E-03,+3.00282674E+00,-791.40E-06,+3.38492469E+00,-179.91242E-03
-996.61000E-03,+3.00282674E+00,-51.04266E-03,+3.38492469E+00,-179.91242E-03
-996.57000E-03,+3.00282674E+00,-126.41954E-03,+3.25929655E+00,+2.08139413E+00
-996.53000E-03,+3.00282674E+00,-126.41954E-03,+3.30954781E+00,+3.31254992E+00
-996.49000E-03,+3.00282674E+00,-791.40E-06,+3.38492469E+00,+3.23717304E+00
-996.45000E-03,+3.00282674E+00,-51.04266E-03,+3.38492469E+00,+3.23717304E+00
-996.41000E-03,+3.00282674E+00,-126.41954E-03,+3.38492469E+00,+3.23717304E+00
-996.37000E-03,+3.00282674E+00,-126.41954E-03,+3.38492469E+00,+3.23717304E+00
-996.33000E-03,+3.00282674E+00,-791.40E-06,+3.38492469E+00,+3.23717304E+00
-996.29000E-03,+2.87719859E+00,-51.04266E-03,+1.12361814E+00,+3.23717304E+00
-996.25000E-03,+2.92744985E+00,-791.40E-06,-233.16579E-03,+3.36280118E+00
-996.21000E-03,+3.00282674E+00,-51.04266E-03,-233.16579E-03,+3.31254992E+00
-996.17000E-03,+3.00282674E+00,-126.41954E-03,-233.16579E-03,+3.23717304E+00
-996.13000E-03,+3.00282674E+00,-126.41954E-03,-233.16579E-03,+3.11154489E+00
-996.09000E-03,+3.00282674E+00,-126.41954E-03,-233.16579E-03,+3.16179615E+00
